79,115.31,115.23,115.34,115.23,1677,$MMM,10/18/22-2022
80,115.22,115.31,115.31,115.205,1400,$MMM,10/18/22-2022
81,115.32,115.41,115.44,115.2958,2951,$MMM,10/18/22-2022
82,115.4,115.34,115.459,115.34,1972,$MMM,10/18/22-2022
83,115.3,115.27,115.31,115.24,2014,$MMM,10/18/22-2022
84,115.27,115.29,115.29,115.24,3109,$MMM,10/18/22-2022
85,115.31,115.3124,115.38,115.3,5044,$MMM,10/18/22-2022
86,115.34,115.35,115.36,115.32,1072,$MMM,10/18/22-2022
87,115.3301,115.34,115.35,115.3021,2206,$MMM,10/18/22-2022
88,115.33,115.25,115.34,115.25,1665,$MMM,10/18/22-2022
89,115.23,115.31,115.33,115.18,3373,$MMM,10/18/22-2022
90,115.41,115.37,115.42,115.37,1700,$MMM,10/18/22-2022
91,115.35,115.37,115.37,115.25,1602,$MMM,10/18/22-2022
92,115.37,115.36,115.39,115.33,4565,$MMM,10/18/22-2022
93,115.36,115.2,115.36,115.16,1980,$MMM,10/18/22-2022
94,115.2072,115.28,115.28,115.19,1799,$MMM,10/18/22-2022
95,115.29,115.3,115.33,115.26,1697,$MMM,10/18/22-2022
96,115.3,115.3888,115.44,115.3,7237,$MMM,10/18/22-2022
97,115.36,115.48,115.48,115.36,2799,$MMM,10/18/22-2022
98,115.4,115.43,115.5,115.4,1097,$MMM,10/18/22-2022
99,115.43,115.415,115.47,115.39,2700,$MMM,10/18/22-2022
100,115.39,115.18,115.39,115.18,3700,$MMM,10/18/22-2022
101,115.2,115.155,115.2,115.126,2003,$MMM,10/18/22-2022
102,115.205,115.24,115.24,115.19,1100,$MMM,10/18/22-2022
103,115.26,115.225,115.3,115.22,3416,$MMM,10/18/22-2022
104,115.21,115.11,115.23,115.11,2300,$MMM,10/18/22-2022
105,115.105,114.96,115.12,114.96,3205,$MMM,10/18/22-2022
106,114.965,114.895,115.01,114.85,5485,$MMM,10/18/22-2022
107,114.92,114.88,114.97,114.85,3376,$MMM,10/18/22-2022
108,114.89,114.8395,114.9099,114.8272,13503,$MMM,10/18/22-2022
109,114.83,114.89,114.95,114.82,3222,$MMM,10/18/22-2022
110,114.92,114.92,114.94,114.87,2173,$MMM,10/18/22-2022
111,114.96,114.99,115.03,114.96,9290,$MMM,10/18/22-2022
112,115.0,114.92,115.0,114.89,2400,$MMM,10/18/22-2022
113,114.91,114.94,114.965,114.8989,9106,$MMM,10/18/22-2022
114,114.92,114.82,114.935,114.82,3255,$MMM,10/18/22-2022
115,114.83,114.78,114.84,114.7084,3113,$MMM,10/18/22-2022
116,114.81,114.87,114.87,114.81,1534,$MMM,10/18/22-2022
