Desciption,Symbol,Direction,Change ( % )
Walt Disney Company (The) Common Stock,DIS,down,-2.022
"Salesforce, Inc. Common Stock",CRM,down,-1.789
American Express Company Common Stock,AXP,down,-1.543
Boeing Company (The) Common Stock,BA,down,-1.431
"Goldman Sachs Group, Inc. (The) Common Stock",GS,down,-1.114
Intel Corporation - Common Stock,INTC,down,-1.009
Apple Inc. - Common Stock,AAPL,down,-0.938
"Cisco Systems, Inc. - Common Stock",CSCO,down,-0.898
JP Morgan Chase & Co. Common Stock,JPM,down,-0.773
Visa Inc.,V,down,-0.663
Chevron Corporation Common Stock,CVX,up,3.306
"Merck & Company, Inc. Common Stock (new)",MRK,up,2.290
Verizon Communications Inc. Common Stock,VZ,up,1.920
International Business Machines Corporation Common Stock,IBM,up,1.347
"Caterpillar, Inc. Common Stock",CAT,up,1.307
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,up,1.194
UnitedHealth Group Incorporated Common Stock (DE),UNH,up,0.970
Procter & Gamble Company (The) Common Stock,PG,up,0.950
"The Travelers Companies, Inc. Common Stock",TRV,up,0.943
Dow Inc. Common Stock,DOW,up,0.829
"Twitter, Inc. Common Stock",TWTR,down,-8.141
Signature Bank - Common Stock,SBNY,down,-6.663
"Expedia Group, Inc. - Common Stock",EXPE,down,-6.564
"Tesla, Inc.  - Common Stock",TSLA,down,-6.187
"Etsy, Inc. - Common Stock",ETSY,down,-5.374
"Caesars Entertainment, Inc. - Common Stock",CZR,down,-5.183
"Penn National Gaming, Inc. - Common Stock",PENN,down,-4.919
Vulcan Materials Company (Holding Company) Common Stock,VMC,down,-4.845
"Bath & Body Works, Inc.",BBWI,down,-4.803
"ServiceNow, Inc. Common Stock",NOW,down,-4.357
Occidental Petroleum Corporation Common Stock,OXY,up,6.063
Halliburton Company Common Stock,HAL,up,4.398
Marathon Oil Corporation Common Stock,MRO,up,3.981
"NRG Energy, Inc. Common Stock",NRG,up,3.819
Schlumberger N.V. Common Stock,SLB,up,3.756
Constellation Energy Corporation - Common Stock,CEG,up,3.626
Devon Energy Corporation Common Stock,DVN,up,3.523
"Kinder Morgan, Inc. Common Stock",KMI,up,3.522
APA Corporation - Common Stock,APA,up,3.378
"Inhibrx, Inc. - Common Stock",INBX,down,-19.067
Noodles & Company - Common Stock,NDLS,down,-15.231
"Sprout Social, Inc - Class A Common Stock",SPT,down,-13.955
"Beyond Meat, Inc. - Common stock",BYND,down,-12.404
Celularity Inc. - Class A Common Stock,CELU,down,-12.125
"Blue Water Vaccines, Inc. - Common Stock",BWV,down,-11.661
Bandwidth Inc. - Class A Common Stock,BAND,down,-11.445
"MongoDB, Inc. - Class A Common Stock",MDB,down,-11.100
"HashiCorp, Inc. - Class A Common Stock",HCP,down,-11.042
"Latham Group, Inc. - Common Stock",SWIM,down,-10.336
"Urban One, Inc.  - Class A Common Stock",UONE,up,19.468
"AEye, Inc. - Class A Common Stock",LIDR,up,17.480
"Zentalis Pharmaceuticals, Inc. - common stock",ZNTL,up,16.493
ManTech International Corporation - Class A Common Stock,MANT,up,14.871
Rattler Midstream LP - Common Units Representing Limited Partnership Interests,RTLR,up,14.864
"RCM Technologies, Inc. - Common Stock",RCMT,up,14.774
PDS Biotechnology Corporation - Common Stock,PDSB,up,13.888
DarioHealth Corp. - Common Stock,DRIO,up,12.628
GrowGeneration Corp. - Common Stock,GRWG,up,12.055
"Prometheus Biosciences, Inc. - Common Stock",RXDX,up,11.737
