Desciption,Symbol,Direction,Change ( % )
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,down,-7.267
"Salesforce, Inc. Common Stock",CRM,down,-3.265
"Caterpillar, Inc. Common Stock",CAT,down,-2.572
JP Morgan Chase & Co. Common Stock,JPM,down,-2.333
"Goldman Sachs Group, Inc. (The) Common Stock",GS,down,-2.064
Apple Inc. - Common Stock,AAPL,down,-1.803
Chevron Corporation Common Stock,CVX,down,-1.497
"Merck & Company, Inc. Common Stock (new)",MRK,down,-1.448
Microsoft Corporation - Common Stock,MSFT,down,-1.318
Visa Inc.,V,down,-1.308
"The Travelers Companies, Inc. Common Stock",TRV,up,2.008
Procter & Gamble Company (The) Common Stock,PG,up,1.118
Honeywell International Inc. - Common Stock,HON,up,0.352
International Business Machines Corporation Common Stock,IBM,up,0.341
Intel Corporation - Common Stock,INTC,up,0.322
Johnson & Johnson Common Stock,JNJ,up,0.294
Coca-Cola Company (The) Common Stock,KO,up,0.287
"Home Depot, Inc. (The) Common Stock",HD,up,0.146
"Universal Health Services, Inc. Common Stock",UHS,down,-6.089
"Under Armour, Inc. Class A Common Stock",UAA,down,-5.125
General Motors Company Common Stock,GM,down,-5.052
BorgWarner Inc. Common Stock,BWA,down,-5.010
"Caesars Entertainment, Inc. - Common Stock",CZR,down,-4.892
"Constellation Brands, Inc. Common Stock",STZ,down,-4.339
"HCA Healthcare, Inc. Common Stock",HCA,down,-4.332
Teleflex Incorporated Common Stock,TFX,down,-4.275
"EPAM Systems, Inc. Common Stock",EPAM,down,-4.096
"Enphase Energy, Inc. - Common Stock",ENPH,up,5.741
"Quanta Services, Inc. Common Stock",PWR,up,4.668
"SolarEdge Technologies, Inc. - Common Stock",SEDG,up,4.077
Northrop Grumman Corporation Common Stock,NOC,up,3.629
The AES Corporation Common Stock,AES,up,3.193
Raytheon Technologies Corporation Common Stock,RTX,up,3.012
"Pfizer, Inc. Common Stock",PFE,up,2.925
Lockheed Martin Corporation Common Stock,LMT,up,2.643
Progressive Corporation (The) Common Stock,PGR,up,2.314
Jacobs Engineering Group Inc. Common Stock,J,up,2.227
"Cytokinetics, Incorporated - Common Stock",CYTK,down,-19.389
"Duck Creek Technologies, Inc. - Common Stock",DCT,down,-19.337
"SMART Global Holdings, Inc. - Ordinary Shares",SGH,down,-19.280
"Icosavax, Inc. - Common Stock",ICVX,down,-18.260
"AeroClean Technologies, Inc. - Common Stock",AERC,down,-10.274
The Lovesac Company - Common Stock,LOVE,down,-10.131
"Infrastructure and Energy Alternatives, Inc. - Common Stock",IEA,down,-9.470
"CarParts.com, Inc. - Common Stock",PRTS,down,-8.684
MicroStrategy Incorporated - Class A Common Stock,MSTR,down,-8.565
The Simply Good Foods Company - Common Stock,SMPL,down,-8.325
"Maxeon Solar Technologies, Ltd. - Ordinary Shares",MAXN,up,13.010
"Aura Biosciences, Inc. - Common Stock",AURA,up,12.729
Rain Therapeutics Inc. - Common Stock,RAIN,up,12.551
Anghami Inc. - Ordinary Shares,ANGH,up,12.360
"ACM Research, Inc. - Class A Common Stock",ACMR,up,12.200
"Lightwave Logic, Inc. - Common Stock",LWLG,up,11.036
DarioHealth Corp. - Common Stock,DRIO,up,11.031
Olink Holding AB (publ) - American Depositary Shares,OLK,up,10.545
Beam Global - Common Stock,BEEM,up,9.527
Northern Lights Acquisition Corp. - Class A Common Stock,NLIT,up,9.381
