Id, Open, Close, High, Low, Volume, Name, Date
85,63.836,64.016,64.756,63.45,21271890,$TSLA,10/30/17-2017
86,64.046,66.306,66.39,64.036,28361735,$TSLA,10/31/17-2017
87,66.45,64.216,66.52178,64.052,42286680,$TSLA,11/01/17-2017
88,60.026,59.852,61.738,58.526,98957080,$TSLA,11/02/17-2017
89,59.9,61.218,61.25,59.026,44469870,$TSLA,11/03/17-2017
90,61.4,60.556,61.5,59.802,32430045,$TSLA,11/06/17-2017
91,60.204,61.21,61.3,60.006,26471370,$TSLA,11/07/17-2017
92,61.1,60.878,61.378,60.26002,23626355,$TSLA,11/08/17-2017
93,60.5,60.598,60.892,59.26,27235735,$TSLA,11/09/17-2017
94,60.5,60.598,61.672,60.37,23127145,$TSLA,11/10/17-2017
95,60.026,63.08,63.36,59.822,37924720,$TSLA,11/13/17-2017
96,63.0,61.74,63.27,61.38,28380380,$TSLA,11/14/17-2017
97,61.202,62.26,62.498,60.3,29893325,$TSLA,11/15/17-2017
98,62.798,62.5,63.628,62.26,29110365,$TSLA,11/16/17-2017
99,65.134,63.01,65.334,62.63,68675695,$TSLA,11/17/17-2017
100,62.758,61.748,63.1,60.95,41238250,$TSLA,11/20/17-2017
101,62.172,63.562,63.646,61.742,36306365,$TSLA,11/21/17-2017
102,63.354,62.52,63.484,62.368,24588180,$TSLA,11/22/17-2017
103,62.758,63.11,63.282,62.2,16220325,$TSLA,11/24/17-2017
104,62.65,63.362,63.468,61.902,22779470,$TSLA,11/27/17-2017
105,63.272,63.51,64.0,62.784,24747455,$TSLA,11/28/17-2017
106,63.46,61.508,63.6,60.246,43836990,$TSLA,11/29/17-2017
107,61.712,61.77,62.14,60.908,21757935,$TSLA,11/30/17-2017
108,61.088,61.306,62.064,61.01,21464340,$TSLA,12/01/17-2017
109,61.3,61.04,61.653,60.122,29175700,$TSLA,12/04/17-2017
110,60.4,60.74,61.6,60.2,23232600,$TSLA,12/05/17-2017
111,60.02,62.652,62.678,60.0,35976705,$TSLA,12/06/17-2017
112,62.4,62.248,63.72682,62.21,23902985,$TSLA,12/07/17-2017
113,62.92,63.026,63.396,62.252,17342290,$TSLA,12/08/17-2017
114,62.926,65.782,65.802,62.75,39689905,$TSLA,12/11/17-2017
115,66.09,68.206,68.288,66.006,43665995,$TSLA,12/12/17-2017
116,68.186,67.806,68.844,67.3,31107305,$TSLA,12/13/17-2017
117,68.202,67.578,69.488,67.38,28999580,$TSLA,12/14/17-2017
118,68.408,68.69,68.78,67.152,34665995,$TSLA,12/15/17-2017
119,68.98,67.774,69.346,67.516,27380830,$TSLA,12/18/17-2017
120,68.052,66.22,68.2985,66.06,34124855,$TSLA,12/19/17-2017
121,66.538,65.796,66.62,65.008,29769000,$TSLA,12/20/17-2017
122,65.918,66.332,66.748,65.442,21926110,$TSLA,12/21/17-2017
123,65.902,65.04,66.18428,64.964,21079035,$TSLA,12/22/17-2017
124,64.766,63.458,64.788,63.316,21892065,$TSLA,12/26/17-2017
125,63.2,62.328,63.536,62.15,23560555,$TSLA,12/27/17-2017
126,62.35,63.072,63.164,61.908,21581735,$TSLA,12/28/17-2017
127,63.236,62.27,63.282,62.0,18885775,$TSLA,12/29/17-2017
128,62.4,64.106,64.42198,62.2,21761205,$TSLA,01/02/18-2018
129,64.2,63.45,65.05,63.11,22607635,$TSLA,01/03/18-2018
130,62.574,62.924,63.71,61.136,49731520,$TSLA,01/04/18-2018
131,63.324,63.316,63.448,62.4,22955900,$TSLA,01/05/18-2018
132,63.2,67.282,67.40398,63.1,49297175,$TSLA,01/08/18-2018
133,67.032,66.738,67.76,65.481,35733155,$TSLA,01/09/18-2018
134,66.44,66.96,67.4,66.0,21549630,$TSLA,01/10/18-2018
135,67.048,67.59,68.96198,66.652,33227420,$TSLA,01/11/18-2018
136,67.726,67.244,68.082,66.734,24125295,$TSLA,01/12/18-2018
137,67.508,68.012,69.0,66.96,32371255,$TSLA,01/16/18-2018
138,68.094,69.432,69.8,67.95,35517525,$TSLA,01/17/18-2018
139,69.134,68.914,70.46,68.748,28429225,$TSLA,01/18/18-2018
140,69.0,70.004,70.11798,68.52,24441515,$TSLA,01/19/18-2018
141,69.88,70.312,71.566,69.84,31051800,$TSLA,01/22/18-2018
142,72.0,70.558,72.1,70.2,27327070,$TSLA,01/23/18-2018
143,70.916,69.178,70.95,68.704,26437390,$TSLA,01/24/18-2018
144,69.654,67.528,69.84,67.28,33701515,$TSLA,01/25/18-2018
145,68.3,68.57,68.8,67.142,22696780,$TSLA,01/26/18-2018
146,67.97,69.906,70.17,67.656,23735745,$TSLA,01/29/18-2018
147,69.028,69.164,69.654,68.434,23588500,$TSLA,01/30/18-2018
148,69.502,70.862,71.238,69.038,31070345,$TSLA,01/31/18-2018
149,70.2,69.85,71.932,69.726,20988435,$TSLA,02/01/18-2018
150,69.688,68.75,70.39,68.102,18524180,$TSLA,02/02/18-2018
151,67.594,66.626,68.894,66.6,22320735,$TSLA,02/05/18-2018
152,65.042,66.794,67.244,64.7,25442190,$TSLA,02/06/18-2018
153,67.798,69.0,69.2,67.132,34846195,$TSLA,02/07/18-2018
154,68.662,63.046,69.724,62.92,51572865,$TSLA,02/08/18-2018
155,63.986,62.084,64.1969,58.952,64668605,$TSLA,02/09/18-2018
156,63.226,63.146,63.616,61.25,31139110,$TSLA,02/12/18-2018
157,63.004,64.732,64.838,62.5021,22801155,$TSLA,02/13/18-2018
158,64.168,64.462,65.234,63.704,19753715,$TSLA,02/14/18-2018
159,64.9,66.813,66.824,64.48,29564585,$TSLA,02/15/18-2018
160,66.5,67.098,68.624,66.328,28213185,$TSLA,02/16/18-2018
161,66.894,66.954,68.168,66.3,20047175,$TSLA,02/20/18-2018
162,67.206,66.66,67.93858,66.634,16098245,$TSLA,02/21/18-2018
163,67.106,69.234,69.488,66.95002,34849040,$TSLA,02/22/18-2018
164,69.566,70.41,70.998,69.42,29086935,$TSLA,02/23/18-2018
165,70.7,71.484,71.8,70.471,21699925,$TSLA,02/26/18-2018
166,71.25,70.198,71.998,70.002,23987095,$TSLA,02/27/18-2018
167,70.514,68.612,71.048,68.444,30348290,$TSLA,02/28/18-2018
168,69.002,66.186,69.734,66.014,34428005,$TSLA,03/01/18-2018
169,65.396,67.024,67.044,64.594,25464145,$TSLA,03/02/18-2018
170,66.478,66.67,67.55,65.85858,19118845,$TSLA,03/05/18-2018
171,66.75,65.64,67.274,65.406,21428720,$TSLA,03/06/18-2018
172,65.088,66.46,66.5,64.348,25036485,$TSLA,03/07/18-2018
173,66.572,65.82,66.66,65.2548,17831220,$TSLA,03/08/18-2018
174,64.82,65.434,65.698,64.474,27533820,$TSLA,03/09/18-2018
175,65.722,69.102,69.442,65.3,41320175,$TSLA,03/12/18-2018
176,68.984,68.368,69.024,67.2527,29829025,$TSLA,03/13/18-2018
177,67.352,65.326,67.962,64.786,39836850,$TSLA,03/14/18-2018
178,65.876,65.12,66.57,64.22,32824005,$TSLA,03/15/18-2018
179,65.192,64.27,65.48,63.814,30586395,$TSLA,03/16/18-2018
180,63.3,62.712,64.15,61.934,37421470,$TSLA,03/19/18-2018
181,62.974,62.11,63.25,61.752,23821465,$TSLA,03/20/18-2018
182,62.05,63.306,64.488,62.038,29792055,$TSLA,03/21/18-2018
183,62.778,61.82,63.764,61.636,24698855,$TSLA,03/22/18-2018
184,62.25,60.308,62.322,60.09,33274495,$TSLA,03/23/18-2018
185,61.468,60.836,61.518,58.272,41875875,$TSLA,03/26/18-2018
186,60.8,55.836,60.854,55.436,69360145,$TSLA,03/27/18-2018
