description,Exchange,Earnings Per Share (Growth %),Beta,P/E Ratio,High-52,Low-52,Market Cap,Market Cap Float,Dividend Pay: ,Dividend Pay Date:,Net Profit Margin (TTM)
"Rubius Therapeutics, Inc. - Common Stock",NASDAQ,0.0,2.45582,0.0,29.94,4.015,528.4937,84.17068,0.0, ,0.0
"Shoals Technologies Group, Inc. - Class A Common Stock",NASDAQ,0.0,0.0,599.7711,37.61,11.19,2626.307,111.049,0.0, ,1.8498
"Rackspace Technology, Inc. - Common Stock",NASDAQ,0.0,0.0,0.0,26.43,7.28,2321.071,207.5087,0.0, ,0.0
I-MAB - American Depositary Shares,NASDAQ,0.0,0.0,0.0,85.4,12.0,1320.446,81.61857,0.0, ,0.0
Bicycle Therapeutics plc - American Depositary Shares,NASDAQ,25.05318,0.0,0.0,62.075,26.39,1116.756,4.33333,0.0, ,0.0
Biofrontera Inc. - Common Stock,NASDAQ,0.0,0.0,0.0,14.63,2.2,46.864,3.6,0.0, ,0.0
"Nurix Therapeutics, Inc. - Common stock",NASDAQ,0.0,0.0,0.0,37.425,12.54,594.7656,43.36233,0.0, ,0.0
"SunOpta, Inc. - Common Stock",NASDAQ,93.72538,1.87465,0.0,15.96,4.22,589.2772,104.7286,0.0, ,0.0
Gladstone Land Corporation - Common Stock,NASDAQ,56.8936,0.63212,0.0,38.65,18.3822,1281.385,31.96357,0.0453,2022-03-31 00:00:00.000,4.66555
Berry Corporation (bry) - Common Stock,NASDAQ,113.8048,2.53723,0.0,11.86,4.7201,914.7687,78.89702,0.06,2022-04-15 00:00:00.000,0.0
Grindrod Shipping Holdings Ltd. - Ordinary Shares,NASDAQ,0.0,0.86658,3.77131,28.4668,6.711,428.1094,11.17486,0.72,2022-03-22 00:00:00.000,29.09953
