description,Exchange,Earnings Per Share (Growth %),Beta,P/E Ratio,High-52,Low-52,Market Cap,Market Cap Float,Dividend Pay: ,Dividend Pay Date:,Net Profit Margin (TTM)
Boeing Company (The) Common Stock,NYSE,51.88268,1.4157,0.0,258.3957,167.58,105070.8,589.8143,2.055,2020-03-06 00:00:00.000,0.0
"Salesforce, Inc. Common Stock",NYSE,0.0,1.10195,133.3333,311.75,184.44,198158.4,956.4145,0.0, ,5.4507
Microsoft Corporation - Common Stock,NASDAQ,22.3343,0.91429,32.06354,349.67,238.07,2259331.0,7481.118,0.62,2022-06-09 00:00:00.000,38.49856
Honeywell International Inc. - Common Stock,NASDAQ,7.25257,1.12429,24.35362,236.86,174.42,132092.3,684.8431,0.98,2022-03-11 00:00:00.000,16.31193
Apple Inc. - Common Stock,NASDAQ,24.76506,1.19092,28.57926,182.94,122.25,2809229.0,16308.0,0.22,2022-02-10 00:00:00.000,26.57914
McDonald's Corporation Common Stock,NYSE,18.91625,0.60754,25.34726,271.15,217.675,189138.2,739.52,1.38,2022-03-15 00:00:00.000,32.49034
Intel Corporation - Common Stock,NASDAQ,0.0,0.55547,9.78776,68.49,43.625,194458.4,4085.182,0.365,2022-03-01 00:00:00.000,25.14173
"Nike, Inc. Common Stock",NYSE,0.0,0.96441,34.1879,179.1,116.75,203614.0,1260.823,0.305,2022-04-01 00:00:00.000,13.06279
"Cisco Systems, Inc. - Common Stock",NASDAQ,17.62298,0.94862,19.54044,64.285,50.1,226942.2,4151.281,0.38,2022-04-27 00:00:00.000,22.93934
International Business Machines Corporation Common Stock,NYSE,845.7118,1.09334,24.71531,145.9873,114.56,115606.3,898.5569,1.64,2022-03-10 00:00:00.000,8.21796
"Home Depot, Inc. (The) Common Stock",NYSE,21.26304,1.04214,19.51065,420.61,293.5901,312851.5,1032.618,1.9,2022-03-24 00:00:00.000,10.87148
"Goldman Sachs Group, Inc. (The) Common Stock",NYSE,0.0,1.45788,5.29306,426.1582,308.2,106159.1,336.1528,2.0,2022-03-30 00:00:00.000,33.29025
JP Morgan Chase & Co. Common Stock,NYSE,0.0,1.09843,8.54323,172.96,127.27,385374.5,2912.865,1.0,2022-04-30 00:00:00.000,39.73234
Chevron Corporation Common Stock,NYSE,856.1609,1.12787,20.54153,174.76,92.86,325436.2,1946.841,1.42,2022-03-10 00:00:00.000,10.06479
UnitedHealth Group Incorporated Common Stock (DE),NYSE,85.00415,0.86926,29.69905,538.28,360.55,505215.8,935.6622,1.45,2022-03-22 00:00:00.000,6.16557
Verizon Communications Inc. Common Stock,NYSE,0.0,0.35999,9.90352,59.85,49.685,221214.0,4199.199,0.64,2022-05-02 00:00:00.000,16.92799
"The Travelers Companies, Inc. Common Stock",NYSE,5.45113,0.70813,12.52977,187.98,144.44,43974.87,240.7463,0.88,2022-03-31 00:00:00.000,10.51755
"Merck & Company, Inc. Common Stock (new)",NYSE,245.6801,0.45332,17.83791,91.4,15.32,219461.0,2526.247,0.69,2022-04-07 00:00:00.000,25.37369
Procter & Gamble Company (The) Common Stock,NYSE,12.64064,0.43502,28.07547,165.35,130.295,380797.8,2394.43,0.8698,2022-02-15 00:00:00.000,18.53956
American Express Company Common Stock,NYSE,24.45478,1.09795,18.25079,199.55,140.68,138121.9,756.3354,0.52,2022-05-10 00:00:00.000,18.81507
"Enphase Energy, Inc. - Common Stock",NASDAQ,0.0,1.2568,203.1611,282.46,108.88,27717.97,130.762,0.0, ,10.52416
"Monolithic Power Systems, Inc. - Common Stock",NASDAQ,67.1957,0.93586,86.38605,580.0,301.53,20292.34,45.40175,0.75,2022-04-15 00:00:00.000,20.03837
NVIDIA Corporation - Common Stock,NASDAQ,105.4584,1.44479,62.95658,346.47,134.59,607620.8,2408.154,0.04,2022-03-24 00:00:00.000,36.23765
"SolarEdge Technologies, Inc. - Common Stock",NASDAQ,123.7733,0.96334,102.8716,389.71,199.33,17358.52,54.57688,0.0, ,8.61414
"Twitter, Inc. Common Stock",NYSE,0.0,0.76045,0.0,73.34,31.3,38454.8,780.1086,0.0, ,0.0
"Etsy, Inc. - Common Stock",NASDAQ,0.0,1.63931,35.95647,307.75,109.38,15364.63,126.153,0.0, ,20.96729
HP Inc. Common Stock,NYSE,20.18184,0.98178,7.12512,41.47,26.11,42197.83,1051.608,0.25,2022-04-06 00:00:00.000,10.05257
KLA Corporation  - Common Stock,NASDAQ,60.2295,1.26567,18.17019,457.12,285.89,53214.57,150.4734,1.05,2022-03-01 00:00:00.000,36.57036
Generac Holdlings Inc. Common Stock,NYSE,13.85074,1.00107,34.65681,524.31,251.7436,18941.19,62.78654,0.0, ,14.89274
NXP Semiconductors N.V. - Common Stock,NASDAQ,114.9436,1.40397,25.34885,239.91,168.74,45398.1,261.6808,0.845,2022-04-06 00:00:00.000,17.24668
"EPAM Systems, Inc. Common Stock",NYSE,64.9335,1.81993,34.37897,725.4,168.5925,15942.49,54.99028,0.0, ,12.81622
Coterra Energy Inc. Common Stock,NYSE,251.8194,0.0,15.76476,29.485,14.28,21726.12,797.2179,0.15,2022-03-17 00:00:00.000,33.57495
Occidental Petroleum Corporation Common Stock,NYSE,196.7919,2.08533,28.05134,63.24,21.62,54040.92,932.0262,0.13,2022-04-15 00:00:00.000,10.68065
DISH Network Corporation - Class A Common Stock,NASDAQ,0.0,1.99598,8.01904,47.05,25.84,16076.5,249.8412,0.0, ,13.73487
"Discovery, Inc. - Series A Common Stock",NASDAQ,0.0,1.13675,14.99094,45.4719,21.655,11728.29,482.1373,0.0, ,9.81872
"Discovery, Inc. - Series C Common Stock",NASDAQ,0.0,1.13675,14.99094,38.16,20.86,11728.29,482.1373,0.0, ,9.81872
Halliburton Company Common Stock,NYSE,447.5013,2.43054,23.14616,39.57,17.818,33996.09,897.6675,0.12,2022-03-23 00:00:00.000,9.59791
"EOG Resources, Inc. Common Stock",NYSE,483.7547,1.7796,15.09962,124.89,62.81,70609.68,583.0597,0.75,2022-04-29 00:00:00.000,25.04161
Constellation Energy Corporation - Common Stock,NASDAQ,119.2691,0.0,0.0,61.07,38.0,19897.1,325.9333,0.141,2022-03-10 00:00:00.000,0.0
APA Corporation - Common Stock,NASDAQ,3877.097,4.41457,15.69853,43.88,15.545,14224.01,329.2465,0.125,2022-05-23 00:00:00.000,16.44333
"C4 Therapeutics, Inc. - Common Stock",NASDAQ,0.0,0.0,0.0,51.21,19.8101,1116.12,42.56179,0.0, ,0.0
"BioCryst Pharmaceuticals, Inc. - Common Stock",NASDAQ,71.4461,2.30933,0.0,19.99,9.23,3301.753,182.6159,0.0, ,0.0
Integrated Media Technology Limited - Ordinary Shares,NASDAQ,0.0,2.89648,27.20665,38.478,3.305,121.7553,6.91158,0.0, ,29.35707
Sunshine Biopharma Inc. - Common stock,NASDAQ,138.8808,0.0,0.0,12560.0,1.51,68.80236,6.57047,0.0, ,0.0
Singularity Future Technology Ltd. - Common Stock,NASDAQ,0.0,0.31104,0.0,19.86,2.09,434.771,20.12185,0.0, ,0.0
"Zentalis Pharmaceuticals, Inc. - common stock",NASDAQ,0.0,0.0,0.0,87.19,37.27,2211.617,41.51201,0.0, ,0.0
