Desciption,Symbol,Direction,Change ( % )
"Cisco Systems, Inc. - Common Stock",CSCO,down,-2.005
Visa Inc.,V,down,-1.560
"Merck & Company, Inc. Common Stock (new)",MRK,down,-1.154
American Express Company Common Stock,AXP,down,-1.143
Microsoft Corporation - Common Stock,MSFT,down,-1.122
JP Morgan Chase & Co. Common Stock,JPM,down,-1.098
3M Company Common Stock,MMM,down,-1.026
UnitedHealth Group Incorporated Common Stock (DE),UNH,down,-0.694
Walmart Inc. Common Stock,WMT,down,-0.687
McDonald's Corporation Common Stock,MCD,down,-0.511
Dow Inc. Common Stock,DOW,up,2.115
Chevron Corporation Common Stock,CVX,up,2.084
Coca-Cola Company (The) Common Stock,KO,up,1.175
Apple Inc. - Common Stock,AAPL,up,1.152
Honeywell International Inc. - Common Stock,HON,up,0.909
Boeing Company (The) Common Stock,BA,up,0.714
"Caterpillar, Inc. Common Stock",CAT,up,0.301
Walt Disney Company (The) Common Stock,DIS,up,0.145
"Nike, Inc. Common Stock",NKE,up,0.048
Johnson & Johnson Common Stock,JNJ,up,0.033
CarMax Inc,KMX,down,-9.538
"Catalent, Inc. Common Stock",CTLT,down,-6.530
"Twitter, Inc. Common Stock",TWTR,down,-5.382
"Bio-Rad Laboratories, Inc. Class A Common Stock",BIO,down,-5.337
Generac Holdlings Inc. Common Stock,GNRC,down,-4.506
"Agilent Technologies, Inc. Common Stock",A,down,-4.472
"Etsy, Inc. - Common Stock",ETSY,down,-3.643
Danaher Corporation Common Stock,DHR,down,-3.566
"West Pharmaceutical Services, Inc. Common Stock",WST,down,-3.501
"IDEXX Laboratories, Inc. - Common Stock",IDXX,down,-3.351
Marathon Oil Corporation Common Stock,MRO,up,4.163
Devon Energy Corporation Common Stock,DVN,up,3.715
"Darden Restaurants, Inc. Common Stock",DRI,up,3.161
"Cardinal Health, Inc. Common Stock",CAH,up,3.128
"Diamondback Energy, Inc. - Commmon Stock",FANG,up,3.012
Nucor Corporation Common Stock,NUE,up,2.906
APA Corporation - Common Stock,APA,up,2.703
"EOG Resources, Inc. Common Stock",EOG,up,2.662
"CF Industries Holdings, Inc. Common Stock",CF,up,2.588
"Bath & Body Works, Inc.",BBWI,up,2.516
TeraWulf Inc. - Common Stock,WULF,down,-30.076
Veru Inc. - Common Stock,VERU,down,-18.485
"Blue Water Vaccines, Inc. - Common Stock",BWV,down,-17.391
BriaCell Therapeutics Corp. - Common Shares,BCTX,down,-15.154
Bicycle Therapeutics plc - American Depositary Shares,BCYC,down,-13.572
Integrated Media Technology Limited - Ordinary Shares,IMTE,down,-13.381
"Zentalis Pharmaceuticals, Inc. - common stock",ZNTL,down,-13.069
"Fulcrum Therapeutics, Inc. - Common Stock",FULC,down,-10.730
"Castle Biosciences, Inc. - Common stock",CSTL,down,-10.576
Bilibili Inc. - American Depositary Shares,BILI,down,-9.539
"Aterian, Inc. - Common Stock",ATER,up,23.762
Singularity Future Technology Ltd. - Common Stock,SGLY,up,22.881
"Ramaco Resources, Inc. - Common Stock",METC,up,14.230
"KLX Energy Services Holdings, Inc.  - Common Stock",KLXE,up,11.900
Longeveron Inc. - common stock,LGVN,up,11.758
ZimVie Inc. - Common Stock,ZIMV,up,10.359
Gogo Inc. - Common Stock,GOGO,up,10.091
"C4 Therapeutics, Inc. - Common Stock",CCCC,up,9.363
"Nurix Therapeutics, Inc. - Common stock",NRIX,up,7.599
Weatherford International plc - Ordinary shares,WFRD,up,7.544
