Desciption,Symbol,Direction,Change ( % )
Chevron Corporation Common Stock,CVX,down,-1.145
"Salesforce, Inc. Common Stock",CRM,down,-0.681
"Home Depot, Inc. (The) Common Stock",HD,down,-0.468
UnitedHealth Group Incorporated Common Stock (DE),UNH,down,-0.441
Johnson & Johnson Common Stock,JNJ,down,-0.174
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,down,-0.118
Dow Inc. Common Stock,DOW,up,4.975
Apple Inc. - Common Stock,AAPL,up,1.839
International Business Machines Corporation Common Stock,IBM,up,1.764
Verizon Communications Inc. Common Stock,VZ,up,1.562
"Cisco Systems, Inc. - Common Stock",CSCO,up,1.415
Honeywell International Inc. - Common Stock,HON,up,1.345
3M Company Common Stock,MMM,up,1.315
Coca-Cola Company (The) Common Stock,KO,up,1.228
McDonald's Corporation Common Stock,MCD,up,1.135
Intel Corporation - Common Stock,INTC,up,1.102
"Enphase Energy, Inc. - Common Stock",ENPH,down,-9.231
"SolarEdge Technologies, Inc. - Common Stock",SEDG,down,-8.396
"Freeport-McMoRan, Inc. Common Stock",FCX,down,-6.253
Dover Corporation Common Stock,DOV,down,-5.961
Generac Holdlings Inc. Common Stock,GNRC,down,-5.929
"Match Group, Inc. - Common Stock",MTCH,down,-5.791
"Netflix, Inc. - Common Stock",NFLX,down,-5.667
Newmont Corporation,NEM,down,-5.267
"Equifax, Inc. Common Stock",EFX,down,-5.036
"NextEra Energy, Inc. Common Stock",NEE,down,-4.269
"United Airlines Holdings, Inc. - Common Stock",UAL,up,12.059
Nucor Corporation Common Stock,NUE,up,10.214
"Tesla, Inc.  - Common Stock",TSLA,up,8.039
Pool Corporation - Common Stock,POOL,up,6.338
"American Airlines Group, Inc. - Common Stock",AAL,up,6.237
"Delta Air Lines, Inc. Common Stock",DAL,up,5.305
Southwest Airlines Company Common Stock,LUV,up,4.965
CSX Corporation - Common Stock,CSX,up,4.391
"Marsh & McLennan Companies, Inc. Common Stock",MMC,up,4.117
Xerox Holdings Corporation - Common Stock,XRX,down,-15.264
GDS Holdings Limited - American Depositary Shares,GDS,down,-12.142
"Shoals Technologies Group, Inc. - Class A Common Stock",SHLS,down,-12.030
"Array Technologies, Inc. - Common Stock",ARRY,down,-11.543
Sleep Number Corporation - Common Stock,SNBR,down,-10.006
"European Wax Center, Inc. - Class A Common Stock",EWCZ,down,-9.629
"Voyager Therapeutics, Inc. - Common Stock",VYGR,down,-8.920
"Casa Systems, Inc. - Common Stock",CASA,down,-8.179
"Inozyme Pharma, Inc. - Common Stock",INZY,up,17.422
"Green Plains, Inc. - Common Stock",GPRE,up,9.881
"Steel Dynamics, Inc. - Common Stock",STLD,up,8.875
Nuvve Holding Corp. - Common Stock,NVVE,up,8.874
"Aterian, Inc. - Common Stock",ATER,up,7.529
JetBlue Airways Corporation - Common Stock,JBLU,up,6.973
"Sun Country Airlines Holdings, Inc. - Common Stock",SNCY,up,6.799
"SkyWest, Inc. - Common Stock",SKYW,up,6.349
