description,Open Price,Bid Price,Ask Price,Net % Change (decimal),Market % change (decimal)
APA Corporation - Common Stock,47.4,48.25,48.3,0.0,0.0
Marathon Oil Corporation Common Stock,31.36,31.54,31.65,-0.4419,0.0
"Tesla, Inc.  - Common Stock",729.675,700.0,700.8,-0.5046,0.0
"Netflix, Inc. - Common Stock",200.14,198.2,198.89,-0.3618,0.0
