Desciption,Symbol,Direction,Change ( % )
"The Travelers Companies, Inc. Common Stock",TRV,down,-4.891
Chevron Corporation Common Stock,CVX,down,-1.185
"Merck & Company, Inc. Common Stock (new)",MRK,down,-0.325
"Nike, Inc. Common Stock",NKE,up,4.118
Boeing Company (The) Common Stock,BA,up,3.408
Walt Disney Company (The) Common Stock,DIS,up,3.232
Johnson & Johnson Common Stock,JNJ,up,3.051
Intel Corporation - Common Stock,INTC,up,2.766
3M Company Common Stock,MMM,up,2.682
Honeywell International Inc. - Common Stock,HON,up,2.671
"Home Depot, Inc. (The) Common Stock",HD,up,2.528
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,up,2.472
International Business Machines Corporation Common Stock,IBM,up,2.362
DENTSPLY SIRONA Inc. - Common Stock,XRAY,down,-13.383
"Twitter, Inc. Common Stock",TWTR,down,-4.727
"Pfizer, Inc. Common Stock",PFE,down,-3.202
Newmont Corporation,NEM,down,-2.997
"CF Industries Holdings, Inc. Common Stock",CF,down,-2.754
Valero Energy Corporation Common Stock,VLO,down,-2.365
Pioneer Natural Resources Company Common Stock,PXD,down,-2.279
"Hartford Financial Services Group, Inc. (The) Common Stock",HIG,down,-2.105
AbbVie Inc. Common Stock,ABBV,down,-1.889
Signature Bank - Common Stock,SBNY,up,8.098
Generac Holdlings Inc. Common Stock,GNRC,up,7.193
"Citizens Financial Group, Inc. Common Stock",CFG,up,6.815
"Intuitive Surgical, Inc. - Common Stock",ISRG,up,6.698
SVB Financial Group - Common Stock,SIVB,up,6.627
"EPAM Systems, Inc. Common Stock",EPAM,up,5.967
"Wynn Resorts, Limited - Common Stock",WYNN,up,5.908
CarMax Inc,KMX,up,5.685
"American Airlines Group, Inc. - Common Stock",AAL,up,5.663
"Penn National Gaming, Inc. - Common Stock",PENN,up,5.449
"Lyra Therapeutics, Inc. - Common Stock",LYRA,down,-20.924
Arqit Quantum Inc. - Ordinary Shares,ARQQ,down,-16.333
"Cassava Sciences, Inc. - Common Stock",SAVA,down,-11.260
"Aterian, Inc. - Common Stock",ATER,down,-10.687
"KLX Energy Services Holdings, Inc.  - Common Stock",KLXE,down,-9.250
NeoGames S.A. - Ordinary Shares,NGMS,down,-7.969
"Casa Systems, Inc. - Common Stock",CASA,down,-7.887
Advantage Solutions Inc.  - Class A Common Stock,ADV,down,-7.873
Generation Bio Co. - Common stock,GBIO,down,-7.858
Sono Group N.V. - Common Shares,SEV,up,65.217
"Axsome Therapeutics, Inc. - Common Stock",AXSM,up,25.138
"Tricida, Inc. - Common Stock",TCDA,up,15.422
ThredUp Inc. - Class A Common Stock,TDUP,up,14.416
"Lightwave Logic, Inc. - Common Stock",LWLG,up,11.313
Yellow Corporation - Common Stock,YELL,up,11.111
Integrated Media Technology Limited - Ordinary Shares,IMTE,up,11.111
"The RealReal, Inc. - Common Stock",REAL,up,10.494
Sterling Check Corp. - Common Stock,STER,up,9.874
"Plug Power, Inc. - Common Stock",PLUG,up,9.785
