description,Exchange,Earnings Per Share (Growth %),Beta,P/E Ratio,High-52,Low-52,Market Cap,Market Cap Float,Dividend Pay: ,Dividend Pay Date:,Net Profit Margin (TTM)
Walmart Inc. Common Stock,NYSE,0.0,0.51255,27.63598,160.77,117.27,354090.3,1439.748,0.56,2022-09-06 00:00:00.000,2.29717
3M Company Common Stock,NYSE,0.0,0.91547,15.54588,206.8063,139.74,84954.8,568.6053,1.49,2022-06-12 00:00:00.000,15.83222
"Home Depot, Inc. (The) Common Stock",NYSE,6.12245,0.97574,19.21827,420.61,279.59,311152.8,1017.465,1.9,2022-06-16 00:00:00.000,10.82752
American Express Company Common Stock,NYSE,0.0,1.0788,16.91122,199.55,149.71,127131.6,747.9323,0.52,2022-08-10 00:00:00.000,17.41653
JP Morgan Chase & Co. Common Stock,NYSE,0.0,1.10505,9.81131,172.96,115.02,388366.2,2909.749,1.0,2022-07-31 00:00:00.000,35.23397
