description,Open Price,Bid Price,Ask Price,Net % Change (decimal),Market % change (decimal)
Walmart Inc. Common Stock,128.5,125.0,125.43,-2.4722,-2.4878
3M Company Common Stock,149.33,146.09,146.54,-1.9224,-1.9224
"Home Depot, Inc. (The) Common Stock",301.74,296.35,297.0,-1.8365,-1.8993
American Express Company Common Stock,168.7,153.25,165.76,-1.8126,-1.8126
JP Morgan Chase & Co. Common Stock,132.87,129.54,129.8,-1.7545,-1.8377
