Desciption,Symbol,Direction,Change ( % )
Walmart Inc. Common Stock,WMT,down,-2.472
3M Company Common Stock,MMM,down,-1.922
"Home Depot, Inc. (The) Common Stock",HD,down,-1.836
American Express Company Common Stock,AXP,down,-1.813
JP Morgan Chase & Co. Common Stock,JPM,down,-1.755
"The Travelers Companies, Inc. Common Stock",TRV,down,-1.536
"Goldman Sachs Group, Inc. (The) Common Stock",GS,down,-1.530
Procter & Gamble Company (The) Common Stock,PG,down,-1.515
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,down,-1.300
Amgen Inc. - Common Stock,AMGN,down,-1.293
"Salesforce, Inc. Common Stock",CRM,up,9.879
Chevron Corporation Common Stock,CVX,up,0.950
"Caterpillar, Inc. Common Stock",CAT,up,0.797
International Business Machines Corporation Common Stock,IBM,up,0.425
"Cisco Systems, Inc. - Common Stock",CSCO,up,0.400
Verizon Communications Inc. Common Stock,VZ,up,0.214
Microsoft Corporation - Common Stock,MSFT,up,0.202
Dow Inc. Common Stock,DOW,up,0.191
Albemarle Corporation Common Stock,ALB,down,-7.795
Moody's Corporation Common Stock,MCO,down,-6.363
Mosaic Company (The) Common Stock,MOS,down,-6.321
Paramount Global - Class B Common Stock,PARA,down,-5.768
"IDEXX Laboratories, Inc. - Common Stock",IDXX,down,-5.615
"Delta Air Lines, Inc. Common Stock",DAL,down,-5.157
S&P Global Inc. Common Stock,SPGI,down,-4.999
"Intuitive Surgical, Inc. - Common Stock",ISRG,down,-4.942
"DexCom, Inc. - Common Stock",DXCM,down,-4.729
Archer-Daniels-Midland Company Common Stock,ADM,down,-4.569
Baker Hughes Company - Common Stock,BKR,up,3.974
HP Inc. Common Stock,HPQ,up,3.862
Hess Corporation Common Stock,HES,up,3.559
ConocoPhillips Common Stock,COP,up,3.017
Constellation Energy Corporation - Common Stock,CEG,up,2.529
Coterra Energy Inc. Common Stock,CTRA,up,2.505
Phillips 66 Common Stock,PSX,up,2.351
Valero Energy Corporation Common Stock,VLO,up,2.276
Halliburton Company Common Stock,HAL,up,2.222
"Digital Turbine, Inc. - Common Stock",APPS,down,-22.611
JOYY Inc. - American Depositary Shares,YY,down,-17.221
Redbox Entertainment Inc. - Class A Common Stock,RDBX,down,-16.518
"Concert Pharmaceuticals, Inc. - Common Stock",CNCE,down,-15.723
"Affirm Holdings, Inc. - Class A Common Stock",AFRM,down,-14.667
"Inhibrx, Inc. - Common Stock",INBX,down,-14.155
"Kirkland's, Inc. - Common Stock",KIRK,down,-13.472
Piedmont Lithium Inc.   - Common Stock,PLL,down,-13.388
"Cassava Sciences, Inc. - Common Stock",SAVA,down,-12.353
"Coinbase Global, Inc. - Class A Common Stock",COIN,down,-12.125
National Energy Services Reunited Corp. - Ordinary Shares Status Alert: Delinquent,NESR,up,16.890
"CareMax, Inc. - Class A Common Stock",CMAX,up,15.812
SIGA Technologies Inc. - Common Stock,SIGA,up,11.426
"Montauk Renewables, Inc. - Common Stock",MNTK,up,11.214
Celularity Inc. - Class A Common Stock,CELU,up,10.412
"Mitek Systems, Inc. - Common Stock",MITK,up,9.534
"Sage Therapeutics, Inc. - Common Stock",SAGE,up,9.498
CTI BioPharma Corp. - Common Stock,CTIC,up,9.392
"HighPeak Energy, Inc. - Common Stock",HPK,up,8.503
TORM plc - Class A Common Stock,TRMD,up,7.836
